st,sc,h,ens
st2,sc1,h01,0.0
st2,sc1,h02,0.0
st2,sc1,h03,0.0
st2,sc1,h04,0.0
st2,sc1,h05,0.0
st2,sc1,h06,0.0
st2,sc1,h07,0.0
st2,sc1,h08,0.0
st2,sc1,h09,0.0
st2,sc1,h10,0.0
st2,sc1,h11,0.0
st2,sc1,h12,0.0
st2,sc1,h13,0.0
st2,sc1,h14,0.0
st2,sc1,h15,0.0
st2,sc1,h16,0.0
st2,sc1,h17,0.0
st2,sc1,h18,0.0
st2,sc1,h19,0.0
st2,sc1,h20,0.0
st2,sc1,h21,0.0
st2,sc1,h22,0.0
st2,sc1,h23,0.0
st2,sc1,h24,0.0
st2,sc2,h01,0.0
st2,sc2,h02,0.0
st2,sc2,h03,0.0
st2,sc2,h04,0.0
st2,sc2,h05,0.0
st2,sc2,h06,0.0
st2,sc2,h07,0.0
st2,sc2,h08,0.0
st2,sc2,h09,0.0
st2,sc2,h10,0.0
st2,sc2,h11,0.0
st2,sc2,h12,0.0
st2,sc2,h13,0.0
st2,sc2,h14,0.0
st2,sc2,h15,0.0
st2,sc2,h16,0.0
st2,sc2,h17,0.0
st2,sc2,h18,0.0
st2,sc2,h19,0.0
st2,sc2,h20,0.0
st2,sc2,h21,0.0
st2,sc2,h22,0.0
st2,sc2,h23,0.0
st2,sc2,h24,0.0
st2,sc3,h01,0.0
st2,sc3,h02,0.0
st2,sc3,h03,0.0
st2,sc3,h04,0.0
st2,sc3,h05,0.0
st2,sc3,h06,0.0
st2,sc3,h07,0.0
st2,sc3,h08,0.0
st2,sc3,h09,0.0
st2,sc3,h10,0.0
st2,sc3,h11,0.0
st2,sc3,h12,0.0
st2,sc3,h13,0.0
st2,sc3,h14,0.0
st2,sc3,h15,0.0
st2,sc3,h16,0.0
st2,sc3,h17,0.0
st2,sc3,h18,0.0
st2,sc3,h19,0.0
st2,sc3,h20,0.0
st2,sc3,h21,0.0
st2,sc3,h22,0.0
st2,sc3,h23,0.0
st2,sc3,h24,0.0
st3,sc4,h01,0.0
st3,sc4,h02,0.0
st3,sc4,h03,0.0
st3,sc4,h04,0.0
st3,sc4,h05,0.0
st3,sc4,h06,0.0
st3,sc4,h07,0.0
st3,sc4,h08,0.0
st3,sc4,h09,0.0
st3,sc4,h10,0.0
st3,sc4,h11,0.0
st3,sc4,h12,0.0
st3,sc4,h13,0.0
st3,sc4,h14,0.0
st3,sc4,h15,0.0
st3,sc4,h16,0.0
st3,sc4,h17,0.0
st3,sc4,h18,0.0
st3,sc4,h19,0.0
st3,sc4,h20,18.00000000000003
st3,sc4,h21,44.00000000000003
st3,sc4,h22,59.00000000000003
st3,sc4,h23,16.000000000000018
st3,sc4,h24,0.0
st3,sc5,h01,0.0
st3,sc5,h02,0.0
st3,sc5,h03,0.0
st3,sc5,h04,0.0
st3,sc5,h05,0.0
st3,sc5,h06,0.0
st3,sc5,h07,0.0
st3,sc5,h08,0.0
st3,sc5,h09,0.0
st3,sc5,h10,0.0
st3,sc5,h11,0.0
st3,sc5,h12,0.0
st3,sc5,h13,0.0
st3,sc5,h14,0.0
st3,sc5,h15,0.0
st3,sc5,h16,0.0
st3,sc5,h17,0.0
st3,sc5,h18,0.0
st3,sc5,h19,0.0
st3,sc5,h20,0.0
st3,sc5,h21,0.0
st3,sc5,h22,0.0
st3,sc5,h23,0.0
st3,sc5,h24,0.0
st3,sc6,h01,0.0
st3,sc6,h02,0.0
st3,sc6,h03,0.0
st3,sc6,h04,0.0
st3,sc6,h05,0.0
st3,sc6,h06,0.0
st3,sc6,h07,0.0
st3,sc6,h08,0.0
st3,sc6,h09,0.0
st3,sc6,h10,0.0
st3,sc6,h11,0.0
st3,sc6,h12,0.0
st3,sc6,h13,0.0
st3,sc6,h14,0.0
st3,sc6,h15,0.0
st3,sc6,h16,0.0
st3,sc6,h17,0.0
st3,sc6,h18,0.0
st3,sc6,h19,0.0
st3,sc6,h20,0.0
st3,sc6,h21,0.0
st3,sc6,h22,0.0
st3,sc6,h23,0.0
st3,sc6,h24,0.0
st3,sc7,h01,0.0
st3,sc7,h02,0.0
st3,sc7,h03,0.0
st3,sc7,h04,0.0
st3,sc7,h05,0.0
st3,sc7,h06,0.0
st3,sc7,h07,0.0
st3,sc7,h08,0.0
st3,sc7,h09,0.0
st3,sc7,h10,0.0
st3,sc7,h11,0.0
st3,sc7,h12,0.0
st3,sc7,h13,0.0
st3,sc7,h14,0.0
st3,sc7,h15,0.0
st3,sc7,h16,0.0
st3,sc7,h17,0.0
st3,sc7,h18,0.0
st3,sc7,h19,0.0
st3,sc7,h20,18.00000000000003
st3,sc7,h21,44.00000000000003
st3,sc7,h22,59.00000000000003
st3,sc7,h23,16.000000000000018
st3,sc7,h24,0.0
st3,sc8,h01,0.0
st3,sc8,h02,0.0
st3,sc8,h03,0.0
st3,sc8,h04,0.0
st3,sc8,h05,0.0
st3,sc8,h06,0.0
st3,sc8,h07,0.0
st3,sc8,h08,0.0
st3,sc8,h09,0.0
st3,sc8,h10,0.0
st3,sc8,h11,0.0
st3,sc8,h12,0.0
st3,sc8,h13,0.0
st3,sc8,h14,0.0
st3,sc8,h15,0.0
st3,sc8,h16,0.0
st3,sc8,h17,0.0
st3,sc8,h18,0.0
st3,sc8,h19,0.0
st3,sc8,h20,0.0
st3,sc8,h21,0.0
st3,sc8,h22,0.0
st3,sc8,h23,0.0
st3,sc8,h24,0.0
st3,sc9,h01,0.0
st3,sc9,h02,0.0
st3,sc9,h03,0.0
st3,sc9,h04,0.0
st3,sc9,h05,0.0
st3,sc9,h06,0.0
st3,sc9,h07,0.0
st3,sc9,h08,0.0
st3,sc9,h09,0.0
st3,sc9,h10,0.0
st3,sc9,h11,0.0
st3,sc9,h12,0.0
st3,sc9,h13,0.0
st3,sc9,h14,0.0
st3,sc9,h15,0.0
st3,sc9,h16,0.0
st3,sc9,h17,0.0
st3,sc9,h18,0.0
st3,sc9,h19,0.0
st3,sc9,h20,0.0
st3,sc9,h21,0.0
st3,sc9,h22,0.0
st3,sc9,h23,0.0
st3,sc9,h24,0.0
st3,sc10,h01,0.0
st3,sc10,h02,0.0
st3,sc10,h03,0.0
st3,sc10,h04,0.0
st3,sc10,h05,0.0
st3,sc10,h06,0.0
st3,sc10,h07,0.0
st3,sc10,h08,0.0
st3,sc10,h09,0.0
st3,sc10,h10,0.0
st3,sc10,h11,0.0
st3,sc10,h12,0.0
st3,sc10,h13,0.0
st3,sc10,h14,0.0
st3,sc10,h15,0.0
st3,sc10,h16,0.0
st3,sc10,h17,0.0
st3,sc10,h18,0.0
st3,sc10,h19,0.0
st3,sc10,h20,18.00000000000003
st3,sc10,h21,44.00000000000003
st3,sc10,h22,59.00000000000003
st3,sc10,h23,16.000000000000018
st3,sc10,h24,0.0
st3,sc11,h01,0.0
st3,sc11,h02,0.0
st3,sc11,h03,0.0
st3,sc11,h04,0.0
st3,sc11,h05,0.0
st3,sc11,h06,0.0
st3,sc11,h07,0.0
st3,sc11,h08,0.0
st3,sc11,h09,0.0
st3,sc11,h10,0.0
st3,sc11,h11,0.0
st3,sc11,h12,0.0
st3,sc11,h13,0.0
st3,sc11,h14,0.0
st3,sc11,h15,0.0
st3,sc11,h16,0.0
st3,sc11,h17,0.0
st3,sc11,h18,0.0
st3,sc11,h19,0.0
st3,sc11,h20,0.0
st3,sc11,h21,0.0
st3,sc11,h22,0.0
st3,sc11,h23,0.0
st3,sc11,h24,0.0
st3,sc12,h01,0.0
st3,sc12,h02,0.0
st3,sc12,h03,0.0
st3,sc12,h04,0.0
st3,sc12,h05,0.0
st3,sc12,h06,0.0
st3,sc12,h07,0.0
st3,sc12,h08,0.0
st3,sc12,h09,0.0
st3,sc12,h10,0.0
st3,sc12,h11,0.0
st3,sc12,h12,0.0
st3,sc12,h13,0.0
st3,sc12,h14,0.0
st3,sc12,h15,0.0
st3,sc12,h16,0.0
st3,sc12,h17,0.0
st3,sc12,h18,0.0
st3,sc12,h19,0.0
st3,sc12,h20,0.0
st3,sc12,h21,0.0
st3,sc12,h22,0.0
st3,sc12,h23,0.0
st3,sc12,h24,0.0
