st,sc,g,h,production
st3,sc7,ocgt,h19,129.5999999999999
st3,sc4,wind,h18,400.0
st3,sc4,solar,h06,18.2
st2,sc3,ccgt,h06,0.0
st2,sc2,solar,h16,263.90000000000003
st2,sc3,solar,h09,109.20000000000005
st2,sc3,solar,h13,482.3000000000004
st3,sc10,ocgt,h10,0.0
st3,sc9,solar,h07,0.0
st2,sc3,solar,h11,382.19999999999993
st3,sc7,solar,h10,600.5999999999998
st3,sc8,ccgt,h02,0.0
st3,sc12,wind,h13,790.6999999999996
st2,sc3,ocgt,h22,0.0
st3,sc8,ccgt,h10,0.0
st3,sc10,ccgt,h18,691.3
st3,sc9,wind,h10,940.2000000000002
st3,sc7,solar,h05,0.0
st3,sc11,wind,h10,867.4000000000001
st3,sc6,wind,h06,939.0
st3,sc9,wind,h07,974.0
st3,sc4,ocgt,h03,-7.616129948928589e-14
st3,sc5,wind,h03,1018.0
st3,sc10,wind,h01,275.0
st3,sc12,solar,h17,45.5
st3,sc4,ccgt,h13,267.70000000000005
st2,sc3,ccgt,h09,0.0
st3,sc5,solar,h23,0.0
st3,sc8,solar,h14,491.39999999999964
st2,sc1,solar,h06,18.199999999999996
st2,sc3,ocgt,h04,0.0
st3,sc8,ccgt,h13,0.0
st2,sc3,ocgt,h11,0.0
st3,sc12,wind,h21,1394.0
st3,sc7,solar,h22,0.0
st3,sc5,ocgt,h19,0.0
st3,sc10,solar,h22,0.0
st3,sc10,ocgt,h15,0.0
st2,sc1,wind,h03,275.0
st3,sc6,solar,h11,382.2
st3,sc6,solar,h08,9.1
st2,sc2,wind,h01,950.0
st3,sc8,ccgt,h07,0.0
st3,sc12,solar,h11,382.19999999999993
st3,sc5,solar,h06,0.0
st3,sc11,wind,h02,1088.0
st3,sc12,wind,h20,1393.0
st2,sc2,ocgt,h07,0.0
st3,sc8,ocgt,h05,0.0
st2,sc1,wind,h09,225.0
st3,sc11,wind,h22,1075.0
st2,sc1,ccgt,h02,595.0
st3,sc12,solar,h24,0.0
st3,sc11,ocgt,h18,0.0
st2,sc2,ocgt,h22,0.0
st3,sc8,ocgt,h10,0.0
st2,sc2,ccgt,h04,0.0
st3,sc9,solar,h11,382.19999999999993
st2,sc1,wind,h12,225.0
st3,sc4,ocgt,h09,0.0
st3,sc10,ccgt,h02,800.0
st3,sc4,wind,h24,300.0
st3,sc6,wind,h17,1158.5
st3,sc11,ccgt,h02,0.0
st3,sc7,solar,h06,18.199999999999996
st3,sc10,solar,h05,0.0
st3,sc4,solar,h20,0.0
st3,sc11,ocgt,h17,0.0
st2,sc2,wind,h12,504.3000000000004
st3,sc6,ocgt,h24,0.0
st3,sc5,solar,h21,0.0
st2,sc3,ccgt,h18,0.0
st3,sc9,ocgt,h02,0.0
st2,sc2,wind,h03,814.0
st3,sc7,ccgt,h10,369.4000000000002
st3,sc10,ccgt,h06,670.8
st2,sc2,solar,h01,0.0
st3,sc11,ocgt,h10,0.0
st3,sc8,ocgt,h21,0.0
st3,sc7,solar,h19,36.39999999999999
st3,sc12,solar,h02,0.0
st2,sc2,solar,h04,0.0
st3,sc10,wind,h10,225.0
st3,sc9,ocgt,h16,0.0
st2,sc3,ocgt,h21,0.0
st3,sc6,ccgt,h11,0.0
st2,sc2,solar,h09,182.0
st2,sc3,wind,h15,616.0
st3,sc6,wind,h11,880.8
st3,sc8,solar,h15,400.4000000000001
st3,sc5,ccgt,h22,309.0
st2,sc1,ocgt,h13,0.0
st3,sc10,wind,h15,350.00000000000006
st2,sc2,ocgt,h04,0.0
st2,sc1,ccgt,h12,42.700000000000045
st3,sc11,solar,h21,0.0
st3,sc9,wind,h06,939.0
st3,sc8,ocgt,h16,0.0
st3,sc10,wind,h13,250.0
st2,sc2,solar,h07,9.099999999999998
st3,sc8,ccgt,h08,0.0
st3,sc8,solar,h10,327.5999999999999
st3,sc6,solar,h24,0.0
st3,sc7,ccgt,h23,800.0
st3,sc4,solar,h04,0.0
st2,sc2,solar,h06,0.0
st3,sc8,ccgt,h18,343.70000000000005
st3,sc10,wind,h14,300.0
st3,sc11,ocgt,h03,0.0
st3,sc12,ccgt,h16,0.0
st2,sc3,ccgt,h23,0.0
st3,sc4,wind,h19,400.0
st2,sc1,ccgt,h09,222.0
st3,sc5,wind,h04,974.0
st3,sc11,wind,h12,760.3000000000004
st3,sc8,wind,h09,946.0
st3,sc12,solar,h18,0.0
st3,sc9,ocgt,h08,0.0
st2,sc3,solar,h04,0.0
st3,sc6,ocgt,h08,0.0
st3,sc5,wind,h12,760.3000000000001
st2,sc2,ccgt,h17,-0.0
st2,sc3,ocgt,h17,0.0
st2,sc2,ccgt,h13,0.0
st3,sc12,wind,h01,1188.0
st3,sc10,ocgt,h05,0.0
st3,sc12,ocgt,h20,0.0
st2,sc1,wind,h21,350.00000000000006
st3,sc5,ocgt,h22,0.0
st3,sc7,ccgt,h11,328.1999999999998
st2,sc1,ccgt,h15,11.199999999999818
st2,sc3,solar,h10,254.79999999999984
st2,sc3,ccgt,h01,0.0
st2,sc1,ocgt,h12,0.0
st3,sc6,solar,h22,0.0
st3,sc5,wind,h24,1200.0
st3,sc7,solar,h15,618.8000000000002
st3,sc5,solar,h14,491.40000000000003
st2,sc3,solar,h17,45.5
st3,sc11,wind,h24,1200.0
st2,sc1,ccgt,h13,12.700000000000045
st3,sc7,wind,h03,275.0
st2,sc2,wind,h08,770.3000000000001
st3,sc6,ocgt,h07,0.0
st3,sc11,ocgt,h04,0.0
st3,sc7,ccgt,h24,800.0
st3,sc9,ccgt,h08,0.0
st2,sc1,solar,h11,709.8000000000001
st3,sc10,solar,h19,36.39999999999999
st2,sc2,wind,h20,950.0
st3,sc10,wind,h24,300.0
st3,sc11,ocgt,h11,0.0
st3,sc5,ocgt,h11,0.0
st3,sc6,wind,h07,974.0
st3,sc9,wind,h08,1033.9
st3,sc4,ocgt,h06,0.0
st2,sc1,wind,h02,275.0
st3,sc8,wind,h18,875.0
st3,sc4,solar,h07,109.2
st3,sc10,wind,h08,225.0
st3,sc9,wind,h24,1294.0
st3,sc6,wind,h18,1246.0
st3,sc10,ocgt,h04,0.0
st3,sc11,ocgt,h13,0.0
st3,sc10,solar,h07,109.20000000000002
st3,sc11,ocgt,h24,0.0
st3,sc8,wind,h04,974.0
st3,sc9,ocgt,h17,0.0
st3,sc10,ccgt,h10,369.4000000000002
st2,sc2,wind,h05,758.0
st3,sc12,ccgt,h21,0.0
st2,sc2,wind,h02,870.0
st3,sc8,ocgt,h08,0.0
st2,sc2,solar,h02,0.0
st3,sc6,ocgt,h23,0.0
st3,sc5,wind,h14,771.5999999999999
st3,sc8,wind,h10,867.4000000000001
st2,sc3,ocgt,h03,0.0
st2,sc2,ccgt,h09,0.0
st3,sc4,solar,h03,0.0
st3,sc4,wind,h21,350.00000000000006
st3,sc9,ccgt,h01,0.0
st3,sc4,ccgt,h19,800.0
st2,sc2,ocgt,h10,0.0
st3,sc6,ccgt,h05,0.0
st3,sc4,solar,h23,0.0
st3,sc9,solar,h01,0.0
st3,sc10,ocgt,h03,0.0
st3,sc10,wind,h16,375.0
st3,sc10,ccgt,h19,800.0
st2,sc1,solar,h02,0.0
st3,sc12,ocgt,h22,0.0
st3,sc5,ocgt,h18,0.0
st3,sc6,ccgt,h16,0.0
st3,sc6,solar,h20,0.0
st2,sc1,wind,h14,300.0
st3,sc10,solar,h08,273.0
st3,sc4,ccgt,h04,699.0
st3,sc7,ccgt,h18,691.3
st2,sc1,ccgt,h11,75.19999999999993
st3,sc5,ocgt,h09,0.0
st3,sc12,ocgt,h24,0.0
st3,sc12,wind,h08,1033.9
st3,sc6,solar,h04,0.0
st3,sc8,solar,h24,0.0
st3,sc9,ccgt,h20,0.0
st3,sc7,solar,h16,482.30000000000047
st3,sc10,solar,h16,482.30000000000047
st2,sc2,ocgt,h13,0.0
st3,sc7,wind,h14,300.0
st3,sc7,ocgt,h06,0.0
st3,sc6,ccgt,h19,0.0
st3,sc8,solar,h08,63.69999999999995
st3,sc5,solar,h24,0.0
st2,sc3,ccgt,h08,0.0
st2,sc2,wind,h06,751.0
st3,sc10,wind,h21,350.00000000000006
st2,sc3,solar,h16,209.30000000000007
st3,sc4,ocgt,h05,0.0
st3,sc7,solar,h12,755.2999999999998
st3,sc9,wind,h17,1158.5
st2,sc2,ccgt,h23,0.0
st2,sc3,ocgt,h14,0.0
st3,sc5,wind,h05,948.0
st3,sc10,ccgt,h20,800.0
st3,sc8,solar,h01,0.0
st3,sc4,wind,h14,300.0
st3,sc11,wind,h17,850.0
st3,sc12,solar,h07,0.0
st3,sc5,solar,h04,0.0
st3,sc9,ccgt,h18,0.0
st3,sc12,solar,h04,0.0
st3,sc7,ocgt,h01,113.0
st3,sc5,solar,h18,27.3
st2,sc3,wind,h11,627.8000000000001
st3,sc7,ccgt,h06,670.8
st3,sc8,solar,h02,0.0
st3,sc11,ccgt,h12,0.0
st3,sc12,wind,h14,808.0
st3,sc8,ccgt,h22,309.0
st3,sc12,ocgt,h16,0.0
st3,sc10,ccgt,h13,267.70000000000016
st3,sc9,solar,h20,0.0
st2,sc1,solar,h01,0.0
st3,sc12,solar,h20,0.0
st3,sc8,wind,h15,824.5999999999999
st3,sc5,solar,h10,327.59999999999997
st3,sc10,ocgt,h13,0.0
st2,sc1,solar,h20,0.0
st3,sc10,solar,h01,0.0
st3,sc9,solar,h14,455.0
st3,sc7,ccgt,h16,348.6999999999996
st3,sc7,ccgt,h07,614.8
st3,sc7,ocgt,h03,0.0
st3,sc5,solar,h03,0.0
st2,sc2,solar,h10,327.5999999999999
st3,sc5,ocgt,h06,0.0
st3,sc10,wind,h06,250.0
st3,sc8,ocgt,h14,0.0
st2,sc2,solar,h20,0.0
st3,sc9,wind,h04,974.0
st3,sc12,wind,h22,1384.0
st3,sc9,wind,h01,1188.0
st3,sc9,ccgt,h16,0.0
st3,sc9,wind,h03,1018.0
st3,sc8,wind,h05,948.0
st3,sc9,ccgt,h07,0.0
st3,sc4,ocgt,h19,129.5999999999999
st2,sc3,ocgt,h18,0.0
st3,sc11,wind,h20,950.0
st2,sc1,ccgt,h22,782.0
st3,sc6,solar,h07,0.0
st2,sc1,ocgt,h19,0.0
st3,sc11,solar,h23,0.0
st2,sc1,solar,h17,318.5
st3,sc11,ocgt,h14,0.0
st3,sc11,ccgt,h01,0.0
st3,sc9,wind,h20,1393.0
st3,sc4,ocgt,h24,194.0
st3,sc8,solar,h22,0.0
st3,sc10,ccgt,h03,743.0
st3,sc11,wind,h19,900.0
st3,sc7,ocgt,h07,0.0
st3,sc11,ccgt,h15,0.0
st2,sc3,solar,h06,0.0
st2,sc3,ccgt,h20,0.0
st3,sc9,ccgt,h22,0.0
st3,sc10,wind,h18,400.0
st3,sc12,wind,h03,1018.0
st2,sc3,wind,h18,997.0
st3,sc10,wind,h19,400.0
st3,sc8,wind,h22,1075.0
st3,sc10,wind,h12,225.0
st3,sc6,solar,h16,209.3
st3,sc8,wind,h08,979.3000000000001
st3,sc6,ocgt,h06,0.0
st3,sc9,ocgt,h14,0.0
st3,sc12,solar,h19,0.0
st2,sc2,ccgt,h14,0.0
st2,sc1,ocgt,h10,0.0
st3,sc6,ocgt,h05,0.0
st3,sc12,ccgt,h24,0.0
st2,sc3,wind,h17,917.5
st3,sc8,ocgt,h20,0.0
st3,sc11,wind,h16,875.0
st3,sc6,ocgt,h14,0.0
st2,sc1,wind,h23,300.0
st3,sc4,wind,h05,250.0
st3,sc12,solar,h16,209.30000000000004
st3,sc11,solar,h10,327.5999999999999
st3,sc5,wind,h13,736.1
st2,sc2,wind,h22,1075.0
st3,sc5,solar,h12,518.6999999999999
st3,sc11,ocgt,h01,0.0
st3,sc6,ocgt,h11,0.0
st3,sc5,ccgt,h17,235.70000000000005
st3,sc10,ocgt,h11,0.0
st3,sc10,wind,h20,375.0
st3,sc8,ccgt,h20,443.0
st3,sc12,ccgt,h23,0.0
st2,sc2,solar,h24,0.0
st3,sc5,ocgt,h12,0.0
st2,sc1,solar,h05,0.0
st3,sc7,solar,h11,709.8000000000002
st3,sc9,ccgt,h24,0.0
st3,sc10,ocgt,h08,0.0
st3,sc10,wind,h11,225.0
st2,sc2,ccgt,h01,0.0
st3,sc11,wind,h07,964.9
st2,sc2,solar,h13,536.9000000000002
st3,sc5,ccgt,h08,0.0
st3,sc8,ccgt,h21,369.0
st3,sc7,ocgt,h21,199.99999999999997
st3,sc6,solar,h14,455.0
st3,sc4,ocgt,h20,199.99999999999997
st2,sc3,solar,h23,0.0
st2,sc2,solar,h18,27.300000000000004
st3,sc7,ccgt,h12,298.70000000000016
st2,sc1,wind,h18,400.0
st3,sc11,solar,h11,455.0
st3,sc8,solar,h13,536.9000000000002
st2,sc3,wind,h07,779.0
st3,sc5,ocgt,h03,0.0
st3,sc4,ocgt,h15,0.0
st3,sc10,wind,h07,250.0
st3,sc11,solar,h04,0.0
st3,sc11,solar,h06,0.0
st3,sc7,ccgt,h15,256.1999999999998
st3,sc9,ccgt,h11,0.0
st2,sc3,ocgt,h01,0.0
st3,sc5,wind,h19,900.0
st2,sc3,solar,h24,0.0
st2,sc1,ocgt,h17,0.0
st3,sc6,ccgt,h21,0.0
st3,sc4,ccgt,h18,691.3
st3,sc6,ccgt,h20,0.0
st3,sc12,ocgt,h08,0.0
st2,sc3,solar,h05,0.0
st3,sc10,ocgt,h09,0.0
st3,sc8,solar,h20,0.0
st2,sc3,ccgt,h03,0.0
st3,sc7,ccgt,h21,800.0
st3,sc4,solar,h01,0.0
st2,sc1,solar,h21,0.0
st3,sc10,solar,h20,0.0
st3,sc12,ccgt,h07,0.0
st3,sc8,wind,h19,900.0
st2,sc1,ocgt,h24,0.0
st3,sc7,wind,h24,300.0
st3,sc12,solar,h09,109.20000000000002
st2,sc2,solar,h12,518.6999999999996
st3,sc7,ccgt,h22,800.0
st3,sc6,ccgt,h18,0.0
st3,sc11,wind,h21,1025.0
st3,sc10,wind,h02,275.0
st2,sc1,wind,h04,275.0
st2,sc1,wind,h15,350.00000000000006
st3,sc6,ocgt,h22,0.0
st3,sc10,ocgt,h23,199.99999999999997
st2,sc1,ccgt,h23,753.0
st2,sc3,ccgt,h16,0.0
st3,sc9,wind,h11,880.8000000000001
st3,sc12,solar,h01,0.0
st3,sc8,ocgt,h06,0.0
st3,sc9,ocgt,h22,0.0
st3,sc12,ocgt,h03,0.0
st2,sc3,ocgt,h07,0.0
st3,sc11,wind,h08,979.3000000000001
st3,sc4,ocgt,h10,0.0
st2,sc2,wind,h15,579.5999999999999
st3,sc5,solar,h22,0.0
st2,sc3,ccgt,h24,0.0
st3,sc9,ocgt,h20,0.0
st3,sc6,ccgt,h23,0.0
st3,sc7,ocgt,h17,0.0
st3,sc8,ocgt,h07,0.0
st2,sc1,wind,h07,250.0
st3,sc5,wind,h22,1075.0
st2,sc3,ccgt,h13,0.0
st3,sc11,ocgt,h19,0.0
st3,sc4,solar,h12,755.3
st3,sc6,ccgt,h06,0.0
st3,sc8,ocgt,h02,0.0
st3,sc11,wind,h04,974.0
st3,sc8,wind,h03,1018.0
st3,sc6,wind,h01,1188.0
st3,sc8,ocgt,h12,0.0
st3,sc4,ocgt,h22,199.99999999999997
st2,sc3,ccgt,h10,0.0
st2,sc2,ccgt,h18,94.70000000000005
st3,sc5,solar,h17,118.3
st2,sc2,wind,h18,875.0
st3,sc5,ccgt,h10,0.0
st3,sc7,solar,h17,318.5
st2,sc3,ocgt,h23,0.0
st3,sc12,ccgt,h02,0.0
st2,sc3,ccgt,h07,0.0
st2,sc1,solar,h24,0.0
st3,sc5,ccgt,h11,0.0
st3,sc7,wind,h16,375.0
st3,sc10,ccgt,h16,348.6999999999996
st3,sc12,ocgt,h18,0.0
st3,sc4,wind,h04,275.0
st2,sc3,ocgt,h06,0.0
st3,sc6,wind,h13,790.6999999999999
st3,sc5,ocgt,h23,0.0
st3,sc6,solar,h02,0.0
st3,sc4,ocgt,h11,0.0
st3,sc11,solar,h05,0.0
st3,sc11,wind,h09,946.0
st2,sc3,solar,h15,364.0
st3,sc6,wind,h10,940.2
st2,sc2,solar,h14,491.39999999999964
st3,sc7,solar,h09,455.0
st3,sc9,ocgt,h23,0.0
st3,sc4,wind,h08,225.0
st3,sc12,ccgt,h05,0.0
st3,sc5,ocgt,h05,0.0
st2,sc1,solar,h03,0.0
st3,sc9,ocgt,h18,0.0
st3,sc10,ocgt,h20,199.99999999999997
st3,sc12,ccgt,h22,0.0
st3,sc5,ocgt,h04,0.0
st2,sc3,wind,h02,870.0
st3,sc7,solar,h18,154.70000000000005
st3,sc4,ocgt,h17,0.0
st3,sc4,ocgt,h18,0.0
st2,sc3,ccgt,h17,0.0
st2,sc1,solar,h22,0.0
st3,sc5,solar,h15,400.40000000000003
st2,sc1,wind,h08,225.0
st2,sc2,ocgt,h17,0.0
st2,sc2,ocgt,h15,0.0
st3,sc5,ccgt,h23,166.0
st3,sc11,ccgt,h16,67.09999999999991
st3,sc8,solar,h03,0.0
st2,sc1,solar,h23,0.0
st3,sc8,ocgt,h24,0.0
st3,sc10,solar,h04,0.0
st3,sc6,wind,h14,808.0
st3,sc11,ccgt,h03,0.0
st2,sc2,ocgt,h09,0.0
st3,sc7,solar,h24,0.0
st3,sc7,solar,h23,0.0
st3,sc5,ccgt,h19,466.0
st3,sc6,solar,h12,464.09999999999997
st3,sc9,solar,h18,0.0
st3,sc4,ccgt,h21,800.0
st2,sc2,ocgt,h03,0.0
st3,sc8,ccgt,h19,466.0
st3,sc6,ccgt,h13,0.0
st3,sc12,wind,h10,940.2000000000002
st3,sc4,solar,h22,0.0
st3,sc5,wind,h20,950.0
st3,sc8,wind,h21,1025.0
st3,sc12,ocgt,h07,0.0
st3,sc11,ccgt,h06,0.0
st2,sc1,ccgt,h20,739.0
st3,sc4,solar,h05,0.0
st2,sc1,solar,h09,455.0
st3,sc11,solar,h14,491.39999999999964
st3,sc4,ccgt,h05,698.0
st3,sc10,ccgt,h14,253.19999999999982
st2,sc1,ocgt,h02,0.0
st3,sc9,solar,h10,254.7999999999998
st3,sc11,ccgt,h14,0.0
st3,sc8,wind,h01,1188.0
st3,sc11,solar,h08,63.69999999999995
st3,sc8,wind,h16,875.0
st3,sc11,ocgt,h05,0.0
st3,sc11,solar,h15,400.4000000000001
st2,sc3,ocgt,h10,0.0
st3,sc5,ocgt,h02,0.0
st3,sc10,ccgt,h07,614.8
st3,sc9,ocgt,h21,0.0
st3,sc8,ocgt,h11,0.0
st3,sc8,solar,h12,518.6999999999996
st2,sc1,solar,h18,154.70000000000005
st3,sc8,ocgt,h04,0.0
st2,sc3,wind,h05,758.0
st3,sc4,wind,h20,375.0
st3,sc4,solar,h24,0.0
st3,sc11,ocgt,h22,0.0
st3,sc10,ccgt,h08,545.0
st3,sc8,ocgt,h09,0.0
st3,sc12,wind,h23,1316.0
st2,sc3,ccgt,h14,0.0
st3,sc8,ccgt,h17,235.70000000000005
st3,sc11,wind,h13,736.0999999999998
st2,sc3,ocgt,h09,0.0
st3,sc7,ocgt,h13,0.0
st3,sc9,ocgt,h15,0.0
st3,sc5,ccgt,h07,0.0
st3,sc8,ccgt,h23,166.0
st3,sc9,ocgt,h12,0.0
st3,sc12,wind,h11,880.8000000000001
st3,sc9,ccgt,h06,0.0
st2,sc1,ocgt,h01,0.0
st3,sc8,solar,h18,27.300000000000004
st3,sc12,solar,h08,9.099999999999998
st2,sc1,wind,h06,250.0
st3,sc9,solar,h16,209.30000000000004
st3,sc10,ccgt,h23,800.0
st3,sc4,wind,h01,275.0
st3,sc10,ocgt,h06,0.0
st3,sc7,solar,h02,0.0
st3,sc7,ocgt,h22,199.99999999999997
st3,sc5,wind,h15,824.5999999999999
st2,sc2,ccgt,h12,0.0
st3,sc12,wind,h19,1366.0
st2,sc2,wind,h21,1025.0
st3,sc11,ccgt,h22,309.0
st3,sc4,ccgt,h15,256.1999999999998
st3,sc7,wind,h01,275.0
st3,sc5,solar,h09,182.0
st3,sc7,ocgt,h15,0.0
st3,sc11,wind,h03,1018.0
st2,sc1,solar,h04,0.0
st3,sc9,wind,h09,1018.8
st2,sc3,solar,h19,0.0
st2,sc2,ocgt,h24,0.0
st2,sc2,ccgt,h06,0.0
st2,sc3,wind,h08,824.9
st2,sc1,solar,h16,482.30000000000047
st2,sc3,wind,h14,555.0
st3,sc4,wind,h15,350.00000000000006
st3,sc6,ccgt,h09,0.0
st2,sc2,ccgt,h21,90.0
st3,sc7,wind,h18,400.0
st3,sc6,solar,h23,0.0
st3,sc8,ocgt,h13,0.0
st3,sc9,ccgt,h23,0.0
st3,sc11,solar,h03,0.0
st3,sc12,ocgt,h05,0.0
st3,sc5,solar,h20,0.0
st3,sc6,ccgt,h08,0.0
st2,sc3,ocgt,h08,0.0
st2,sc2,ocgt,h11,0.0
st3,sc8,wind,h12,760.3000000000004
st3,sc10,ocgt,h07,0.0
st2,sc1,ccgt,h24,735.0
st3,sc9,ccgt,h04,0.0
st3,sc7,ccgt,h05,698.0
st2,sc1,ccgt,h06,482.8
st3,sc4,solar,h19,36.4
st3,sc12,wind,h09,1018.8
st3,sc10,ccgt,h22,800.0
st3,sc7,solar,h13,755.2999999999998
st2,sc1,ocgt,h03,0.0
st3,sc11,solar,h09,182.0
st3,sc5,wind,h02,1088.0
